total_ambients,school,parceria,ambient
1,ESTRELINHAS DO JARDIM JAQUELINE,ASSOCIACAO EDUCATEC,SALA DE ED. INFANTIL PROPRIA 
1,EUCLIDES DA CUNHA,ASSOCIACAO BENEFICENTE CAVALCANTE,SALA RECUPERACAO/APOIO PEDAG. 
1,EUCLIDES DA CUNHA,ASSOCIACAO BENEFICENTE CAVALCANTE,SALA RECURSOS MULTIFUNCIONAIS
1,EUGENIO FRANCISCO DE SANTANA,ASS PELO DESENVOLVIMENTO EDUCACIONAL E PROFISSIONAL ADEP,SALA DE AULA PROPRIA         
1,EUGENIO FRANCISCO DE SANTANA,ASS PELO DESENVOLVIMENTO EDUCACIONAL E PROFISSIONAL ADEP,SALA DE ED. INFANTIL PROPRIA 
1,FAZ DE CONTA,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,BERCARIO
1,FAZENDA DO CARMO,ASS MISSIONARIA ATRAVESSANDO OS VALES,BERCARIO
1,FILHOS DE DAVI,CRUZADA PRO INFANCIA,SALA DE ED. INFANTIL PROPRIA 
1,FILHOS DO REI,ASSOCIAÇÃO INFÂNCIA COM ALIMENTO E AFETO,SALA DE ED. INFANTIL PROPRIA 
1,FRANCISCO BATISTA VER,ASS METODISTA DE ACAO SOCIAL - AMAS MOOCA,SALA DE ED. INFANTIL ADAPTADA
1,FUTURO BRILHANTE,INSTITUTO UNÇÃO E ADORAÇÃO EM CRISTO,SALA DE AULA PROPRIA         
1,FUTURO BRILHANTE V,INSTITUTO UNÇÃO E ADORAÇÃO EM CRISTO,BERCARIO
1,GAMALIEL,ASSOCIAÇÃO EM FAVOR E DEFESA DA COMUNIDADE,BERCARIO
1,GARRA FEMININA II,CRUZADA PRO INFANCIA,BERCARIO
1,GIGI TOMAZELLI WIAZOWSKI,ASSOCIACAO COMUNITARIA EDUCACIONAL BRILHO DOURADO,SALA DE AULA PROPRIA         
1,GOTA DE ESPERANCA II,ASS COMUNITARIA SEMPRE VIVA,BERCARIO
1,GOTA DE ESPERANCA IV,ASS SANTA ZITA,BERCARIO
1,GOTA DE ESPERANCA V,INSTITUTO EDUCACIONAL SOCIAL E CULTURAL GOTA DE ESPERANÇA,BERCARIO
1,GOTA DE ESPERANCA VI,INSTITUTO EDUCACIONAL SOCIAL E CULTURAL GOTA DE ESPERANÇA,BERCARIO
1,GOTINHAS DO SABER,ACAO SOCIAL LARGO 13,BIBLIOTECA
1,GUSTAVINHO,ASS BENEF .COMUNITARIA E CULT. NUCLEO DE ATENDIMENTO SOCIAL,SALA DE ED. INFANTIL PROPRIA 
1,GUSTAVO DE SOUZA DORIGHELLO,GRUPO DA FRATERNIDADE IRMAO DE SAGRES,BERCARIO
1,HORIZONTES DO SABER,INSTITUTO KWARAY,BERCARIO
1,IASHUA,INSTITUTO DE GESTÃO EDUCACIONAL E VALORIZAÇÃO DO ENSINO - IG,SALA DE AULA PROPRIA         
1,INFANCIA FELIZ III,INSTITUIÇÃO AQUARELA,BERCARIO
1,ISABELA,ASS SAO SABAS DE FILANTROPIA,SALA DE AULA PROPRIA         
1,ITAQUERA I,ASS UNIAO SOCIALDOS MORADORES DO MUTIRAO INACIO MONTEIRO ADJ,BERCARIO
1,JACANA,FUNDACAO COMUNIDADE DA GRACA,PATIO COBERTO                 
1,JACANA,FUNDACAO COMUNIDADE DA GRACA,QUADRA COBERTA                
1,JACANA,FUNDACAO COMUNIDADE DA GRACA,SALA DE DANCA / GINASTICA
1,JAGUARE,UNIAO SOCIAL AMIGOS DO JARDIM ROBRU,SALA DE PROJECAO/VIDEO        
1,JAGUARE,UNIAO SOCIAL AMIGOS DO JARDIM ROBRU,SALA RECURSOS MULTIFUNCIONAIS
1,JARDIM AURORA,CARITAS CAMPO LIMPO CCL,SALA DE ED. INFANTIL PROPRIA 
1,JARDIM COLORADO,ASS DE MULHERES JARDIM COLORADO,BERCARIO
1,JARDIM DA CONQUISTA,CENTRO DE PROMOCAO HUMANA NOSSA SENHORA AP DO JD PEDREIRA,LABORATORIO DE INFORMATICA    
1,JARDIM DA CONQUISTA,CENTRO DE PROMOCAO HUMANA NOSSA SENHORA AP DO JD PEDREIRA,SALA DE ED. INFANTIL ADAPTADA
1,JARDIM DA CONQUISTA,CENTRO DE PROMOCAO HUMANA NOSSA SENHORA AP DO JD PEDREIRA,SALA RECUPERACAO/APOIO PEDAG. 
1,JARDIM DA INFANCIA,ASSOCIAÇÃO CULTURAL NOSSA SENHORA,BERCARIO
1,JARDIM DOS FRANCOS,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,BERCARIO
1,JARDIM DOS SONHOS,INSTITUTO BEVENUTTO,BRINQUEDOTECA
1,JARDIM FONTALIS,SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA,SALA DE AULA ADAPTADA        
1,JARDIM FONTALIS I,SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA,SALA DE ED. INFANTIL ADAPTADA
1,JARDIM IPANEMA,OBRAS SOCIAIS DO JARDIM CLIMAX,SALA DE RECREACAO             
1,JARDIM IPANEMA I,OBRAS SOCIAIS DO JARDIM CLIMAX,SALA DE ED. INFANTIL PROPRIA 
1,JARDIM IRIS,UNIAO SOCIAL AMIGOS DO JARDIM ROBRU,SALA DE ED. INFANTIL PROPRIA 
1,JARDIM JARAGUA,GFWC CRE-SER,SALA DE RECREACAO             
1,JARDIM KLEIN,ASSOCIAÇÃO COMUNITÁRIA AMIGOS DO YADOIA,SALA DE ED. ESPECIAL PROPRIA 
1,JARDIM LALLO,INSTITUTO EDUCAR DE SAO PAULO,BRINQUEDOTECA
1,JARDIM LAPENNA I,SOCIEDADE AMIGOS DE VILA MARA JARDIM MAIA E VILAS ADJACENTES,SALA DE AULA PROPRIA         
1,JARDIM PAULISTANO,ASSOCIACAO VIA COMUNIDADE,CAMPO DE FUTEBOL
1,JARDIM PAULISTANO,ASSOCIACAO VIA COMUNIDADE,GINASIO DE ESPORTES
1,JARDIM PAULISTANO,ASSOCIACAO VIA COMUNIDADE,LABORATORIO DE INFORMATICA    
1,JARDIM PAULISTANO,ASSOCIACAO VIA COMUNIDADE,PATIO COBERTO                 
1,JARDIM PAULISTANO,ASSOCIACAO VIA COMUNIDADE,PATIO DESCOBERTO              
1,JARDIM PAULISTANO,ASSOCIACAO VIA COMUNIDADE,SALA DE ESTUDO/PESQUISAS
1,JARDIM PAULISTANO,ASSOCIACAO VIA COMUNIDADE,SALA DE LEITURA               
1,JARDIM PAULISTANO,ASSOCIACAO VIA COMUNIDADE,SALA RECURSOS MULTIFUNCIONAIS
1,JARDIM SAO JUDAS TADEU,CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA,SALA DE ED. INFANTIL PROPRIA 
1,JARDIM SAO PAULO I,ASSOCIAÇÃO BENEFICENTE COMUNITARIA THEREZINHA DE JESUS,BERCARIO
1,JARDIM TANAY,CRUZADA PRO INFANCIA,SALA DE ED. ESPECIAL PROPRIA 
1,JARDIM TRES MARIAS,ACAO COMUNIT. PAROQUIAL DO JD. COLONIAL PE. EMIR RIGON,BERCARIO
1,JESSICA FRAZAO,ASSOCIAÇÃO EM FAVOR E DEFESA DA COMUNIDADE,SALA DE ED. INFANTIL PROPRIA 
1,JESUS MENINO III,ASSOCIAÇÃO BRUNA ROSA,SALA DE ED. INFANTIL PROPRIA 
1,JESUS REI III,INSTITUTO EDUCACIONAL E SOCIAL LUZ DO MUNDO,SALA DE ED. INFANTIL PROPRIA 
