dre,school,average_age
IQ,CENTRO DE ACAO SOCIAL ESPACO LIVRE,27.0
CL,ASSOCIACAO BENEFICENTE GUAINUMBI,26.0
SA,ALVARENGA,26.0
IP,ASSOCIACAO NOSSA ESCOLA,26.0
SM,INSTITUTO MATER DEI,26.0
IQ,LAR MAE DO DIVINO AMOR,26.0
IP,GRUPO BRASIL DE APOIO AO SURDOCEGO E AO MULT DEF SENSORIAL,26.0
CL,VILA DO SOL,26.0
SA,A ALTERNATIVA - ASS DE ASSISTENCIA AO EXCEPCIONAL,26.0
PE,CENTRO SOCIAL NOSSA SENHORA DA PENHA CENHA,25.0
PE,ASSOCIACAO CASA DOS DEFICIENTES DE ERMELINO MATARAZZO-UNID I,25.0
BT,UIRAPURU,24.0
CS,TRES LAGOS,24.0
FO,JARDIM PAULISTANO,23.0
PE,TIQUATIRA,23.0
SM,SAO MATEUS,22.0
CL,PARAISOPOLIS,22.0
JT,LELIA GONZALEZ,21.0
PJ,PARQUE ANHANGUERA,20.0
SM,SAO RAFAEL,20.0
FO,PAZ,19.0
SM,JOSE MARIA WHITAKER,19.0
JT,JACANA,19.0
CS,MANOEL VIEIRA DE QUEIROZ FILHO,18.0
SM,JULIO DE GRAMMONT,17.0
PJ,MARIO LAGO,17.0
CL,MODESTO SCAGLIUSI,17.0
JT,OLIVA IRENE BAYERLEIN SILVA,17.0
IP,HELEN KELLER,16.0
MP,EZEQUIEL RAMOS JUNIOR,16.0
IP,PERICLES EUGENIO DA SILVA RAMOS,16.0
PE,EDGARD CAVALHEIRO,16.0
G,ANTONIO PEREIRA IGNACIO,16.0
G,AURELIANO LEITE,16.0
IQ,VICENTINA RIBEIRO DA LUZ,16.0
G,VLADIMIR HERZOG,16.0
PE,ESPACO DE BITITA,16.0
IQ,CARLOS CHAGAS,16.0
PE,ARTHUR AZEVEDO,16.0
IP,ADEFAV-CENTRO DE RECURSOS EM DEFICIENCIA MULTIPLA,16.0
CS,OLEGARIO MARIANO,16.0
G,SATURNINO PEREIRA,15.0
SM,JARDIM DAS LARANJEIRAS,15.0
JT,JARDIM FONTALIS,15.0
JT,RUY BARBOSA,15.0
CL,CAMPO LIMPO III -LUISA ROSARIA DE OLIVEIRA DIAS,15.0
MP,EUZEBIO ROCHA FILHO,15.0
IQ,BARTOLOMEU LOURENCO DE GUSMAO,15.0
CL,HERMES FERREIRA DE SOUZA,15.0
PE,JACKSON DE FIGUEIREDO,15.0
IQ,BENEDITO CALIXTO,15.0
SM,PLINIO DE QUEIROZ,15.0
CL,PROCOPIO FERREIRA,15.0
PE,AMADEU AMARAL,15.0
IQ,SERGIO MILLIET,15.0
FO,ERICO VERISSIMO,15.0
G,ALEXANDRE DE GUSMAO,15.0
G,ELIAS SHAMMASS,15.0
CL,TERESA MARGARIDA DA SILVA E ORTA,15.0
CS,PLINIO SALGADO,15.0
SM,CIDADE DE OSAKA,15.0
CS,PAULO SETUBAL,15.0
CL,JOSE OLYMPIO PEREIRA FILHO,15.0
MP,NEUZA AVELINO DA SILVA MELO,15.0
